objetID,route,longueur,depPrD,xD,yD,zD,depPrF,xF,yF,zF,anneeMesureTrafic,TMJA,geopoint_depart,geopoint_fin,TMJA_avg,TMJA_actualise,count
TMJ19_1,A0001,2440,93,653006.6,6867037.55,0,93,652895.68,6869486.5,0,2019,132186.0,POINT(2.358973 48.901624),POINT(2.357188 48.923638),94409.74285714286,132186.0,47
TMJ19_2,A0001,785.2,93,652895.68,6869486.5,0,93,653192.95,6870100.7,0,2019,132186.0,POINT(2.357188 48.923638),POINT(2.361177 48.929182),94409.74285714286,132186.0,47
TMJ19_3,A0001,401.8,93,653192.95,6870100.7,0,93,653570.77,6870241.67,0,2019,132186.0,POINT(2.361177 48.929182),POINT(2.366318 48.930477),94409.74285714286,132186.0,47
TMJ19_4,A0001,820.5,93,653570.77,6870241.67,0,93,654333.83,6870523.68,0,2019,132186.0,POINT(2.366318 48.930477),POINT(2.376701 48.933068),94409.74285714286,132186.0,47
TMJ19_5,A0001,229.5,93,654333.83,6870523.68,0,93,654554.12,6870572,0,2019,132186.0,POINT(2.376701 48.933068),POINT(2.379703 48.933518),94409.74285714286,132186.0,47
TMJ19_6,A0001,210,93,654554.12,6870572,0,93,654759.06,6870596.05,0,2019,132186.0,POINT(2.379703 48.933518),POINT(2.382497 48.933749),94409.74285714286,132186.0,47
TMJ19_7,A0001,2018,93,654759.06,6870596.05,0,93,656725.22,6870934.53,0,2019,132757.0,POINT(2.382497 48.933749),POINT(2.409298 48.936928),94409.74285714286,132757.0,47
TMJ19_8,A0001,102,93,656725.22,6870934.53,0,93,656820.85,6870967.75,0,2019,179900.0,POINT(2.409298 48.936928),POINT(2.410600 48.937233),94409.74285714286,179900.0,47
TMJ19_9,A0001,1700,93,656820.85,6870967.75,0,93,658432.54,6871533.44,0,2019,179900.0,POINT(2.410600 48.937233),POINT(2.432544 48.942426),94409.74285714286,179900.0,47
TMJ19_10,A0001,2818,93,658432.54,6871533.44,0,93,660673.01,6873226.12,0,2019,196501.0,POINT(2.432544 48.942426),POINT(2.462971 48.957788),94409.74285714286,196501.0,47
TMJ19_11,A0001,678,93,660673.01,6873226.12,0,93,661190.21,6873674.3,0,2019,122500.0,POINT(2.462971 48.957788),POINT(2.469992 48.961849),94409.74285714286,122500.0,47
TMJ19_12,A0001,1202,93,661190.21,6873674.3,0,95,662045.66,6874523.29,0,2019,122500.0,POINT(2.469992 48.961849),POINT(2.481598 48.969535),94409.74285714286,122500.0,47
TMJ19_13,A0001,580,95,662045.66,6874523.29,0,95,662458.53,6874933.32,0,2019,,POINT(2.481598 48.969535),POINT(2.487201 48.973246),94409.74285714286,94409.74285714286,47
TMJ19_14,A0001,4820,95,662458.53,6874933.32,0,95,665417.28,6878704.65,0,2019,98800.0,POINT(2.487201 48.973246),POINT(2.527307 49.007323),94409.74285714286,98800.0,47
TMJ19_15,A0001,70,95,665417.28,6878704.65,0,95,665481.08,6878892.47,0,2019,,POINT(2.527307 49.007323),POINT(2.528164 49.009016),94409.74285714286,94409.74285714286,47
Sanef_1,A0001,1499,95,665481.08,6878892.47,0,95,665966.61,6880317.6,0,2019,100582.0,POINT(2.528164 49.009016),POINT(2.534685 49.021856),94409.74285714286,100582.0,47
NbILnCD_section1_Sanef_1,A0001,242,95,665966.61,6880317.6,0,95,666035.68,6880520.91,0,2019,100582.0,POINT(2.534685 49.021856),POINT(2.535613 49.023688),94409.74285714286,100582.0,47
NbILnCD_section2_Sanef_1,A0001,7132,95,666035.68,6880520.91,0,95,667208.81,6887489.88,0,2019,100582.0,POINT(2.535613 49.023688),POINT(2.551111 49.086409),94409.74285714286,100582.0,47
Sanef_2,A0001,2777,95,667208.81,6887489.88,0,95,667345.96,6890249.01,0,2019,88718.0,POINT(2.551111 49.086409),POINT(2.552775 49.111224),94409.74285714286,88718.0,47
NbILnCD_section1_Sanef_2,A0001,1610,95,667345.96,6890249.01,0,60,667686.69,6891809.56,0,2019,88718.0,POINT(2.552775 49.111224),POINT(2.557321 49.125272),94409.74285714286,88718.0,47
Sanef_3,A0001,10166,60,667686.69,6891809.56,0,60,671659.72,6900724.84,0,2019,85306.0,POINT(2.557321 49.125272),POINT(2.611148 49.205612),94409.74285714286,85306.0,47
Sanef_4,A0001,1694,60,671659.72,6900724.84,0,60,672895.5,6901827.49,0,2019,60705.0,POINT(2.611148 49.205612),POINT(2.628032 49.215579),94409.74285714286,60705.0,47
Sanef_5,A0001,13620,60,672895.5,6901827.49,0,60,677269.45,6913464.74,0,2019,66830.0,POINT(2.628032 49.215579),POINT(2.687425 49.320363),94409.74285714286,66830.0,47
Sanef_6,A0001,8733,60,677269.45,6913464.74,0,60,678030.74,6921986.21,0,2019,59640.0,POINT(2.687425 49.320363),POINT(2.697445 49.396986),94409.74285714286,59640.0,47
Sanef_7,A0001,14075,60,678030.74,6921986.21,0,60,679799.4,6935810.25,0,2019,55654.0,POINT(2.697445 49.396986),POINT(2.721130 49.521292),94409.74285714286,55654.0,47
Sanef_8,A0001,11468,60,679799.4,6935810.25,0,60,682330.82,6946951.22,0,2019,56145.0,POINT(2.721130 49.521292),POINT(2.755600 49.621487),94409.74285714286,56145.0,47
NbILnCD_section1_Sanef_8,A0001,9286,60,682330.82,6946951.22,0,80,683521.06,6956095.56,0,2019,56145.0,POINT(2.755600 49.621487),POINT(2.771697 49.703688),94409.74285714286,56145.0,47
Sanef_9,A0001,17216,80,683521.06,6956095.56,0,80,687952.39,6972647.1,0,2019,53287.0,POINT(2.771697 49.703688),POINT(2.832604 49.852495),94409.74285714286,53287.0,47
Sanef_10,A0001,2964,80,687952.39,6972647.1,0,80,688279.33,6975583.73,0,2019,66471.0,POINT(2.832604 49.852495),POINT(2.837062 49.878882),94409.74285714286,66471.0,47
Sanef_11,A0001,10318,80,688279.33,6975583.73,0,80,690044.79,6985631.47,0,2019,66888.0,POINT(2.837062 49.878882),POINT(2.861360 49.969170),94409.74285714286,66888.0,47
Sanef_12,A0001,4966,80,690044.79,6985631.47,0,80,691298.91,6990414.29,0,2019,67641.0,POINT(2.861360 49.969170),POINT(2.878723 50.012149),94409.74285714286,67641.0,47
Sanef_13,A0001,2220,80,691298.91,6990414.29,0,80,691699.49,6992566.8,0,2019,44371.0,POINT(2.878723 50.012149),POINT(2.884262 50.031488),94409.74285714286,44371.0,47
NbILnCD_section1_Sanef_13,A0001,7891,80,691699.49,6992566.8,0,62,690810.7,7000344.35,0,2019,44371.0,POINT(2.884262 50.031488),POINT(2.871693 50.101328),94409.74285714286,44371.0,47
Sanef_14,A0001,19107,62,690810.7,7000344.35,0,62,690643.39,7019124.53,0,2019,45960.0,POINT(2.871693 50.101328),POINT(2.868922 50.269970),94409.74285714286,45960.0,47
Sanef_15,A0001,4322,62,690643.39,7019124.53,0,62,692272.53,7023133.97,0,2019,47380.0,POINT(2.868922 50.269970),POINT(2.891668 50.305991),94409.74285714286,47380.0,47
Sanef_16,A0001,3760,62,692272.53,7023133.97,0,62,694414.51,7026218.92,0,2019,48851.0,POINT(2.891668 50.305991),POINT(2.921653 50.333711),94409.74285714286,48851.0,47
Sanef_17,A0001,11959,62,694414.51,7026218.92,0,62,698769.14,7036692.02,0,2019,73540.0,POINT(2.921653 50.333711),POINT(2.982703 50.427758),94409.74285714286,73540.0,47
11199,A0001,891,62,698769.14,7036692.02,0,62,698351.8,7037530.5,0,2019,,POINT(2.982703 50.427758),POINT(2.976834 50.435284),94409.74285714286,94409.74285714286,47
NbILnCD_section1_11199,A0001,7439,62,698351.8,7037530.5,0,62,700064.97,7044327.59,0,2019,,POINT(2.976834 50.435284),POINT(3.000914 50.496300),94409.74285714286,94409.74285714286,47
NbILnCD_section2_11199,A0001,6819,62,700064.97,7044327.59,0,59,703969.88,7049721.88,0,2019,,POINT(3.000914 50.496300),POINT(3.055918 50.544705),94409.74285714286,94409.74285714286,47
TMJ19_18,A0001,5183.6,59,703969.88,7049721.88,0,59,706554.89,7054220.35,0,2019,,POINT(3.055918 50.544705),POINT(3.092404 50.585057),94409.74285714286,94409.74285714286,47
TMJ19_19,A0001,926.4,59,706554.89,7054220.35,0,59,707043.38,7055010.6,0,2019,,POINT(3.092404 50.585057),POINT(3.099304 50.592144),94409.74285714286,94409.74285714286,47
TMJ19_20,A0001,946,59,707043.38,7055010.6,0,59,707336.72,7055888.26,0,2019,,POINT(3.099304 50.592144),POINT(3.103456 50.600018),94409.74285714286,94409.74285714286,47
TMJ19_21,A0001,793.4,59,707336.72,7055888.26,0,59,706963.37,7056568.18,0,2019,,POINT(3.103456 50.600018),POINT(3.098203 50.606124),94409.74285714286,94409.74285714286,47
TMJ19_22,A0001,1355.6,59,706963.37,7056568.18,0,59,706031.24,7057548.76,0,2019,,POINT(3.098203 50.606124),POINT(3.085073 50.614934),94409.74285714286,94409.74285714286,47
TMJ19_23,A0001,819,59,706031.24,7057548.76,0,59,705822.95,7058228.67,0,2019,,POINT(3.085073 50.614934),POINT(3.082145 50.621038),94409.74285714286,94409.74285714286,47
TMJ19_24,A0001,50,59,705822.95,7058228.67,0,59,705853.12,7058267.95,0,2019,,POINT(3.082145 50.621038),POINT(3.082571 50.621390),94409.74285714286,94409.74285714286,47
Sanef_38,A0002,3533,80,691468.61,6990871.19,0,80,693370.6,6993152.82,0,2019,23269.0,POINT(2.881079 50.016255),POINT(2.907554 50.036771),26390.285714285714,23269.0,14
0Odmg0O_section1_Sanef_38,A0002,1122,80,693370.6,6993152.82,0,62,694311.12,6993756.09,0,2019,23269.0,POINT(2.907554 50.036771),POINT(2.920661 50.042199),26390.285714285714,23269.0,14
0Odmg0O_section2_Sanef_38,A0002,382,62,694311.12,6993756.09,0,80,694644.11,6993988.07,0,2019,23269.0,POINT(2.920661 50.042199),POINT(2.925302 50.044285),26390.285714285714,23269.0,14
0Odmg0O_section3_Sanef_38,A0002,18563,80,694644.11,6993988.07,0,62,709099.55,7005132.49,0,2019,23269.0,POINT(2.925302 50.044285),POINT(3.127161 50.144330),26390.285714285714,23269.0,14
Sanef_39,A0002,39,62,709099.55,7005132.49,0,62,709125.65,7005156.86,0,2019,30405.0,POINT(3.127161 50.144330),POINT(3.127527 50.144548),26390.285714285714,30405.0,14
0Odmg0O_section1_Sanef_39,A0002,5675,62,709125.65,7005156.86,0,59,713257.98,7008860.47,0,2019,30405.0,POINT(3.127527 50.144548),POINT(3.185395 50.177734),26390.285714285714,30405.0,14
Sanef_40,A0002,13367,59,713257.98,7008860.47,0,59,723006.21,7017397.47,0,2019,30846.0,POINT(3.185395 50.177734),POINT(3.322197 50.254111),26390.285714285714,30846.0,14
TMJ19_27,A0002,4989,59,723006.21,7017397.47,0,59,725627.61,7021472.12,0,2019,,POINT(3.322197 50.254111),POINT(3.359168 50.290594),26390.285714285714,26390.285714285714,14
TMJ19_28,A0002,4768,59,725627.61,7021472.12,0,59,729320.16,7024317.7,0,2019,,POINT(3.359168 50.290594),POINT(3.411126 50.315981),26390.285714285714,26390.285714285714,14
TMJ19_29,A0002,6239,59,729320.16,7024317.7,0,59,734668.99,7027138.4,0,2019,,POINT(3.411126 50.315981),POINT(3.486369 50.341033),26390.285714285714,26390.285714285714,14
TMJ19_30,A0002,1946,59,734668.99,7027138.4,0,59,736575.72,7026722.4,0,2019,,POINT(3.486369 50.341033),POINT(3.513080 50.337190),26390.285714285714,26390.285714285714,14
